일,날짜의 연도,최고기온
18일,2000,32.0
19일,2000,28.9
1일,2000,31.0
20일,2000,31.8
21일,2000,30.6
22일,2000,26.2
23일,2000,29.5
24일,2000,31.0
25일,2000,29.7
26일,2000,31.9
27일,2000,33.1
28일,2000,31.7
29일,2000,29.7
2일,2000,33.0
30일,2000,26.6
31일,2000,30.4
3일,2000,33.2
4일,2000,33.8
5일,2000,33.9
6일,2000,34.2
7일,2000,33.4
8일,2000,33.0
9일,2000,30.5
10일,2001,24.8
11일,2001,30.3
12일,2001,31.8
13일,2001,31.4
14일,2001,28.9
15일,2001,27.3
16일,2001,30.1
17일,2001,32.4
18일,2001,31.4
19일,2001,31.7
1일,2001,29.6
20일,2001,30.5
21일,2001,27.5
22일,2001,27.8
23일,2001,30.9
24일,2001,29.0
25일,2001,32.3
26일,2001,32.8
27일,2001,31.3
28일,2001,31.6
29일,2001,28.1
2일,2001,30.9
30일,2001,26.8
31일,2001,30.3
3일,2001,26.5
4일,2001,30.9
5일,2001,25.4
6일,2001,31.8
7일,2001,31.5
8일,2001,30.9
9일,2001,30.3
10일,2002,31.6
11일,2002,29.7
12일,2002,29.1
13일,2002,29.3
14일,2002,24.2
15일,2002,29.4
16일,2002,28.5
17일,2002,28.4
18일,2002,29.2
19일,2002,24.7
1일,2002,27.9
20일,2002,27.9
21일,2002,29.1
22일,2002,27.0
23일,2002,23.2
24일,2002,27.6
25일,2002,33.8
26일,2002,31.5
27일,2002,33.6
28일,2002,34.8
29일,2002,30.0
2일,2002,28.8
30일,2002,29.8
31일,2002,28.0
3일,2002,30.6
4일,2002,32.3
5일,2002,27.1
6일,2002,23.1
7일,2002,25.3
8일,2002,29.1
9일,2002,29.7
10일,2003,26.4
11일,2003,30.8
12일,2003,25.4
13일,2003,29.9
14일,2003,27.8
15일,2003,29.6
16일,2003,29.0
17일,2003,27.8
18일,2003,22.4
19일,2003,21.6
1일,2003,27.8
20일,2003,28.9
21일,2003,29.3
22일,2003,25.0
23일,2003,25.8
24일,2003,29.2
25일,2003,30.4
26일,2003,29.1
27일,2003,24.7
28일,2003,24.6
29일,2003,29.3
2일,2003,30.7
30일,2003,31.4
31일,2003,30.5
3일,2003,24.3
4일,2003,24.9
5일,2003,30.5
6일,2003,27.3
7일,2003,28.9
8일,2003,28.7
9일,2003,25.2
10일,2004,28.8
11일,2004,27.7
12일,2004,23.2
13일,2004,22.8
14일,2004,27.6
15일,2004,23.7
16일,2004,24.6
17일,2004,23.2
18일,2004,28.2
19일,2004,28.3
1일,2004,26.7
20일,2004,26.8
21일,2004,31.8
22일,2004,32.0
23일,2004,33.2
24일,2004,30.8
25일,2004,28.0
26일,2004,29.2
27일,2004,30.2
28일,2004,32.7
29일,2004,33.2
2일,2004,24.2
30일,2004,33.4
31일,2004,34.5
3일,2004,26.8
4일,2004,22.7
5일,2004,26.2
6일,2004,26.3
7일,2004,22.2
8일,2004,23.3
9일,2004,27.3
10일,2005,26.2
11일,2005,23.3
12일,2005,27.0
13일,2005,26.1
14일,2005,29.6
15일,2005,30.1
16일,2005,29.1
17일,2005,26.3
18일,2005,31.2
19일,2005,30.7
1일,2005,26.5
20일,2005,31.7
21일,2005,32.5
22일,2005,34.2
23일,2005,33.9
24일,2005,33.5
25일,2005,30.8
26일,2005,32.2
27일,2005,29.6
28일,2005,26.0
29일,2005,28.5
2일,2005,26.1
30일,2005,29.5
31일,2005,30.2
3일,2005,23.5
4일,2005,28.8
5일,2005,26.3
6일,2005,29.0
7일,2005,28.5
8일,2005,29.1
9일,2005,23.7
10일,2006,26.1
11일,2006,28.7
12일,2006,25.1
13일,2006,27.2
14일,2006,29.2
15일,2006,27.2
16일,2006,21.2
17일,2006,20.3
18일,2006,20.7
19일,2006,24.2
1일,2006,24.7
20일,2006,24.7
21일,2006,26.7
22일,2006,27.5
23일,2006,28.1
24일,2006,26.6
25일,2006,28.3
26일,2006,24.6
27일,2006,22.0
28일,2006,23.2
29일,2006,27.2
2일,2006,26.7
30일,2006,29.7
31일,2006,30.1
3일,2006,28.6
4일,2006,24.0
5일,2006,24.7
6일,2006,23.5
7일,2006,26.8
8일,2006,29.0
9일,2006,28.8
10일,2007,25.1
11일,2007,21.1
12일,2007,28.0
13일,2007,30.7
14일,2007,27.8
15일,2007,29.0
16일,2007,25.2
17일,2007,27.7
18일,2007,31.0
19일,2007,26.8
1일,2007,23.2
20일,2007,30.0
21일,2007,26.2
22일,2007,29.7
23일,2007,29.3
24일,2007,26.7
25일,2007,26.7
26일,2007,31.2
27일,2007,29.7
28일,2007,26.2
29일,2007,27.2
2일,2007,22.8
30일,2007,31.2
31일,2007,29.8
3일,2007,27.3
4일,2007,25.3
5일,2007,25.1
6일,2007,31.1
7일,2007,30.7
8일,2007,30.2
9일,2007,30.3
10일,2008,30.5
11일,2008,30.0
12일,2008,27.7
13일,2008,29.7
14일,2008,31.7
15일,2008,31.2
16일,2008,27.2
17일,2008,30.3
18일,2008,30.1
19일,2008,25.7
1일,2008,29.3
20일,2008,28.4
21일,2008,24.1
22일,2008,28.4
23일,2008,26.5
24일,2008,25.0
25일,2008,25.9
26일,2008,23.8
27일,2008,28.3
28일,2008,31.2
29일,2008,32.3
2일,2008,24.5
30일,2008,28.3
31일,2008,29.5
3일,2008,25.1
4일,2008,27.2
5일,2008,28.0
6일,2008,28.4
7일,2008,27.5
8일,2008,32.8
9일,2008,32.9
10일,2009,29.7
11일,2009,29.2
12일,2009,24.0
13일,2009,27.7
14일,2009,25.6
15일,2009,25.9
16일,2009,32.4
17일,2009,26.6
18일,2009,27.3
19일,2009,29.9
1일,2009,27.4
20일,2009,28.5
21일,2009,29.1
22일,2009,30.0
23일,2009,29.9
24일,2009,30.1
25일,2009,26.0
26일,2009,29.1
27일,2009,27.7
28일,2009,26.4
29일,2009,30.4
2일,2009,22.3
30일,2009,30.6
31일,2009,30.4
3일,2009,27.0
4일,2009,26.9
5일,2009,30.0
6일,2009,29.0
7일,2009,28.1
8일,2009,30.3
9일,2009,25.8
10일,2010,29.2
11일,2010,26.5
12일,2010,28.6
13일,2010,31.3
14일,2010,27.7
15일,2010,30.0
16일,2010,27.7
17일,2010,24.2
18일,2010,29.1
19일,2010,30.1
1일,2010,30.7
20일,2010,32.3
21일,2010,29.7
22일,2010,29.6
23일,2010,25.9
